Type,Name,Ingredients,Steps
한식,고추전,"['아삭이고추: 7~8개', '다진 돼지고기: 150g', '두부: 1/2모(150g)', '양파: 1/4개', '부침가루: 1큰술', '계란 흰자: 1개', '홍고추: 1개', '굴소스: 1큰술', '청주: 1/2큰술', '다진 마늘: 1/2큰술', '생강가루: 약간', '참기름: 약간', '소금: 약간', '후춧가루: 약간', '달걀: 1개', '부침가루: 3큰술', '진간장: 2큰술', '물: 1큰술', '설탕: 1큰술', '식초: 1큰술', '다진 양파: 약간', '청고추: 약간']","['Step 1: 양파는 곱게 다지고 홍고추는 송송 썰어 준비해 주세요. 두부는 칼등으로 으깨 주세요. (tip. 수분이 많은 두부의 경우 물기를 꽉 짜주세요)', 'Step 2: 볼에 다진 돼지고기와 양파, 두부, 계란 흰자, 부침가루 1큰술과 양념 재료를 넣고 버무려 완성해 주세요.  (tip. 계란 노른자는 반죽 재료로 써주세요)', 'Step 3: 아삭이고추는 길게 반으로 갈라 속을 털어주세요.', 'Step 4: 아삭이고추의 안쪽 부분에 튀김가루를 묻힌 후 속 재료를 넣어주세요.  (tip. 속 재료를 꾹꾹 눌러 잘 고정시켜주세요)', 'Step 5: 아삭이고추 윗면에 부침가루를 살짝 뿌린 후 반죽 면에만 달걀물을 묻혀주세요.', 'Step 6: 법랑 접시에 유산지를 깔고 식용유를 충분히 두른 후 고추의 반죽 부분이 아래를 향하도록 올려주세요. 법랑 접시를 3단에 넣고 광파오븐 수동 요리 <구이>에서 10분간 구워주세요.', 'Step 7: 고추전을 초간장과 함께 맛있게 즐겨주세요.']"
한식,황태갈비,"['황태: 1마리', '밀가루: 4큰술', '전분: 2큰술', '식용유: 약간', '간장: 2큰술', '올리고당: 1큰술', '갈색 설탕: 1큰술', '맛술: 2큰술', '다진 마늘: 1큰술', '다진 파: 2큰술', '참기름: 1큰술', '통깨: 약간']","['Step 1: 뼈를 발라 펼쳐진 황태를 6cm 길이로 잘라주세요. 물에 담가 말랑한 상태로 만든 후 물을 꽉 짜주세요.', 'Step 2: 볼에 양념 재료를 넣어 잘 섞어주세요. 손질한 황태를 양념에 재워주세요.', 'Step 3: 밀가루와 전분을 섞은 후 양념한 황태에 묻혀주세요.', 'Step 4: 구이 전용 팬에 기름을 바르고 황태를 올린 후 기름을 바르고 4단에 넣은 후 광파오븐 자동 요리 <구이>에서 <황태 양념구이> 1마리 분량을 선택하여 구워주세요. 조리가 시작되면 조절 기능으로 시간을 2분 추가해주세요. 도중에 멜로디가 울리면 황태를 뒤집고 계속 조리해 주세요.  (tip. ""오븐에 전송"" 버튼을 누르면 시간을 조절할 필요 없이 간단하게 설정할 수 있어요', 'Step 5: 완성된 황태갈비를 접시에 담아 맛있게 즐겨주세요.']"
한식,성게미역국,"['성게: 60g', '건 미역: 15g', '다시마 육수: 5컵', '국간장: 1큰술', '참기름: 1큰술', '멸치액젓: 1/2큰술', '소금: 약간']","['Step 1: 미역은 물에 담가 10분 정도 불려주세요. 불린 미역은 먹기 좋게 썬 후 물기를 제거해 주세요.', 'Step 2: 냄비에 참기름을 두르고 미역을 볶아주세요. 미역이 부드러워지면 국간장을 넣고 2분정도 더 볶아주세요.', 'Step 3: 다시마 육수를 넣고 ⅔ 정도 넣고 10분 정도 끓여주세요.', 'Step 4: 나머지 다시마 육수를 모두 넣고 성게알과 액젓을 넣어 5분 정도 더 끓여주세요. 부족한 간은 소금으로 맞춰주세요.', 'Step 5: 완성된 성게미역국을 그릇에 담고 밥과 함께 즐겨주세요.']"
한식,멍게비빔밥,"['멍게: 120g', '부추: 한 줌(30g)', '청양고추: 1개', '밥: 2공기', '다진 마늘: 1큰술', '소금: 1/2작은술', '참기름: 2큰술', '깨소금: 2큰술']","['Step 1: 손질된 멍게는 먹기 좋은 크기로 잘라주세요.', 'Step 2: 쪽파와 청양고추는 송송 썰어주세요.', 'Step 3: 볼에 멍게, 양념 재료, 쪽파, 청양고추를 넣어 섞어주세요.', 'Step 4: 그릇에 밥을 담은 후 멍게를 듬뿍 올려주세요.  (tip. 기호에 따라 김가루를 뿌려 맛있게 즐겨주세요)']"
한식,곤드레전,"['생 곤드레: 200g', '식용유: 적당량', '소금: 약간', '부침가루: 1컵', '물: 1컵', '간장: 1큰술', '맛술: 1/2큰술', '식초: 1작은술', '잘게 썬 양파: 1큰술', '잘게 썬 홍고추: 1/2큰술', '통깨: 약간']","['Step 1: 곤드레는 깨끗이 씻어 4cm 길이로 잘라주세요.', 'Step 2: 볼에 반죽 재료와 곤드레를 넣고 섞어주세요.  (tip. 반죽에 전분을 넣어 만들면 반죽이 투명해져서 곤드레의 색감을 살릴 수 있어요)', 'Step 3: 볼에 양념장 재료를 넣어 섞어주세요.', 'Step 4: 달군 팬에 약간의 기름을 두른 후 반죽을 올려 얇게 펼쳐주세요. 앞뒤로 노릇하게 구워주세요.', 'Step 5: 곤드레 전에 양념장을 곁들여 맛있게 즐겨주세요.']"
한식,완두콩밥,"['불린 쌀: 2컵', '물: 2컵', '완두콩: 1/2컵']","['Step 1: 솥에 불린 쌀과 씻은 완두콩을 넣어주세요.', 'Step 2: 물을 넣고 뚜껑을 닫아 센 불에서 끓여주세요. 밥물이 끓기 시작하면 불을 약한 불로 줄여 15분 정도 익혀주세요.', 'Step 3: 밥이 다 지어지면 5~10분 정도 뜸을 들인 후 주걱으로 위아래 가볍게 섞어 맛있게 즐겨주세요.']"
한식,미역오이냉국,"['불린 미역: 100g', '생수: 2컵', '오이: 1개', '통깨: 약간', '얼음: 적당량', '식초: 1/2컵', '설탕: 2큰술', '국간장: 1/2큰술', '소금: 약간', '다진 마늘: 1/2큰술']","['Step 1: 불린 미역은 물에 30초 정도 데친 후 체에 밭쳐 깨끗이 씻어주세요 (tip. 미역은 여러 번 헹궈야 비린내가 나지 않아요)', 'Step 2: 물기를 짠 후 먹기 좋은 크기로 잘라주세요.', 'Step 3: 볼에 미역을 담은 후 양념 재료를 넣어 골고루 섞어주세요.', 'Step 4: 오이는 얇게 슬라이스로 잘라주세요.', 'Step 5: 미역이 들어있는 볼에 오이와 물을 넣어 섞어주세요.', 'Step 6: 마지막에 얼음, 통깨를 뿌려 완성해주세요.']"
한식,부지깽이 도토리부침개,"['부지깽이: 100g', '식용유: 적당량', '도토리가루: 6큰술', '물: 6큰술', '간장: 1큰술', '식초: 1작은술', '잘게 썬 양파: 약간', '홍고추: 약간', '통깨: 약간']","['Step 1: 부지깽이는 흐르는 물에 헹군 후 3~4cm 길이로 잘라주세요.', 'Step 2: 볼에 부지깽이와 반죽 재료를 넣고 섞어주세요.', 'Step 3: 달군 팬에 약간의 기름을 두른 후 반죽을 올려 펼쳐주세요. 앞뒤로 노릇하게 구워주세요.', 'Step 4: 완성된 부지깽이 도토리부침개를 소스에 찍어 맛있게 즐겨주세요. (tip. 기호에 따라 초고추장에 찍어 먹어도 맛있답니다)']"
한식,아욱 된장국,"['아욱: 150g', '멸치 다시마 육수(초이스레시피 멸치육수 2포): 5컵', '대파: 1/2대', '청양고추: 1개', '된장: 2큰술', '고추장: 1/2큰술', '다진 마늘: 1큰술']","['Step 1: 아욱의 줄기 끝 부분은 꺾어내고 껍질을 벗겨주세요. 큰 잎은 먹기 좋은 크기로 찢어주세요. 손질한 아욱은 흐르는 물에 2~3번 씻어주세요. 줄기가 두꺼운 경우 반으로 썰어주세요. (tip. 줄기가 가는 아욱은 껍질을 벗기지 않아도 괜찮아요) (tip. 큰 잎은 먹기 좋은 크기로 잘라주세요) (tip. 줄기가 억센 경우 씻을 때 굵은 소금을 넣고 박박 문질러주세요)', 'Step 2: 청양고추와 대파는 어슷 썰어주세요.', 'Step 3: 냄비에 멸치다시마육수를 붓고 된장과 고추장을 넣어 센불에서 끓여 주세요. 육수가 끓어 오르면 아욱과 다진마늘, 청양고추를 넣고 끓여주세요. 마지막으로 대파를 넣어 한소끔 끓인 후 맛있게 즐겨주세요. (tip 부족한 간은 소금을 가감해 조절해 주세요)']"
한식,근대 된장국,"['근대: 200g', '양파: 1/4개', '청양고추: 1개', '대파: 1/2대', '된장: 2큰술', '고춧가루: 1큰술', '다진 마늘: 1큰술', '멸치 다시마 육수(초이스레시피 멸치육수 1.5포): 4컵']","['Step 1: 깨끗이 씻은 근대는  먹기 좋은 크기로 썰어 준비해 주세요.', 'Step 2: 양파는 얇게 썰고 청양고추와 홍고추를 송송 썰어주세요. 대파는 어슷 썰어주세요.', 'Step 3: 냄비에 멸치 다시마 육수를 넣고 된장을 풀어주세요. 양파를 넣고 끓이다가 근대와 청양고추, 고춧가루, 다진 마늘, 대파를 넣고 팔팔 끓여주세요. 완성된 근대 된장국을 그릇에 담아 맛있게 즐겨주세요. (tip. 부족한 간은 소금을 가감해 조절해 주세요)']"
한식,[강레오] 고등어구이,"['고등어 필렛: 130g', '오일: 적당량', '소금: 적당량', '후춧가루: 적당량']","['Step 1: 충분히 해동된 고등어를 깨끗하게 씻어 주세요. 고등어에 묻은 물기를 닦아내 수분을 완전히 제거해 주세요. (tip. 수분을 제거해야 구울 때 기름이 튀지 않고 냄새가 안 나요)', 'Step 2: 고등어 양면에 소금과 후춧가루를 적당량 뿌려 밑간을 해 주세요. (tip. 소금은 굵은 것보다 고운 입자를 사용하는 게 좋아요. 굵은소금이 있다면 곱게 갈아주세요)', 'Step 3: 팬에 오일을 두르고 중간불로 달궈 주세요. 고등어의 껍질이 아래로 향하도록 올린 후, 중약불로 낮춰 10초 정도 꾹 눌러 구워주세요. 고등어가 80% 정도 익었을 때 뒤집어 10초 정도 더 익혀 주세요.', 'Step 4: 겉은 바삭, 속은 촉촉하게 익은 고등어구이를 맛있게 즐겨 주세요.']"
