,Question,Label,Model Response
0,김치적은 어떻게 만들어?,0,김치적을 만들기 위해 필요한 재료입니다: ['김치 200g'  '쇠고기(우둔) 100g'  '표고버섯 5장'  '통도라지 100g'  '밀가루 1/2컵'  '계란 3개'  '식용유 3큰술'  '참기름 약간'  '소금 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 김치는 소를 털어내고 줄기만 길이 8cm  너비 2cm로 썰어 참기름을 고루 묻힌다 '  'Step 2: 쇠고기는 도톰하게 포를 떠 잔칼질하여 김치보다 약간 길게 썬다 '  'Step 3: 표고버섯은 1cm 폭으로 썰고 도라지는 삶아서 반으로 갈라 참기름과 소금으로 무친다 '  'Step 4: 준비된 재료를 꼬치에 꽂아 밀가루를 묻힌 후 계란물을 묻혀 기름에 지진다 ']
1,콩나물미나리무침은 어떻게 만들어?,0,콩나물미나리무침을 만들기 위해 필요한 재료입니다: ['콩나물 40g'  '미나리 3줄기'  '고춧가루 1큰술'  '소금 약간'  '참기름 약간'  '깨소금 약간'  '다진파 약간'  '다진마늘 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 콩나물은 꼬리를 다듬어 제거한다 '  'Step 2: 끓는물에 소금을 약간 넣고 콩나물을 살짝 데쳐낸다 '  'Step 3: 미나리는 길이 6cm 정도로 썰어 소금물에 살짝 데쳐낸다 '  'Step 4: 데친 콩나물과 미나리는 물기를 제거한다 '  'Step 5: 고춧가루  소금  참기름  깨소금  다진 파  다진 마늘을 섞어 양념장을 만든다 '  'Step 6: 콩나물과 미나리를 5의 양념장에 무친다 '  'Step 7: *미나리의 색을 살리기 위해서는 끓는물에 약간의 소금과 식초를 넣어 준다 '  'Step 8: *콩나물의 비린맛을 완전히 없애도록 한다 ']
2,두부젓국찌개 레시피 알려줘,0,두부젓국찌개를 만들기 위해 필요한 재료입니다: ['두부 1/2모'  '된장 50g'  '새우 30g'  '조개 30g'  '양파 1/2개'  '애호박 1/4개'  '청고추 1개'  '홍고추 1/2개'  '대파 1/2뿌리'  '고춧가루 1작은술'  '다시마(10cm x 10cm) 1장'  '멸치 한줌'  '다진마늘 1작은술'  '참기름 약간'  '새우젓 약간'  '후춧가루 약간'  '맛술 약간'  '소금 2작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 조개는 옅은 소금물에 해감 시키고 새우는 몸통의 껍질과 머리를 제거한 후 등의 내장을 빼고 소금  후춧가루  맛술로 밑간한다 '  'Step 2: 고추와 파는 어슷썰고 애호박은 반 갈라 0 5cm 두께로 썰어 준비한다 '  'Step 3: 두부도 애호박과 같은 두께로 썰고 양파는 2cm x 2cm 모양으로 손질해 준비한다 '  'Step 4: 멸치와 다시마를 넣어 육수를 끓이고 물이 끓기 시작하면 된장과 고춧가루를 풀고  조개  새우  고추  파를 제외한 야채를 넣고 끓인다 '  'Step 5: 4가 끓으면 조개와 새우를 넣고 한소끔 더 끓인다 '  'Step 6: 국물의 간은 새우젓으로 맞추며 불에서 내리기 전에 고추  파 참기름으로 마무리한다 ']
3,오징어찌개 레시피 알려줘,0,오징어찌개를 만들기 위해 필요한 재료입니다: ['오징어 1마리'  '쇠고기(우둔) 100g'  '풋고추 1개'  '홍고추 1개'  '대파 1/3대'  '물 3컵'  '간장 1작은술'  '후춧가루 약간'  '고추장 2큰술'  '고춧가루 1/2큰술'  '마늘 2작은술'  '참기름 1/4작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 오징어는 내장을 제거하고 껍질을 벗긴 뒤 0 5cm 두께의 링 모양으로 썬다 '  'Step 2: 쇠고기는 0 2cm 두께로 채썬 뒤 간장  후춧가루로 밑간을 한다 '  'Step 3: 청고추  홍고추  대파는 어슷썬다 '  'Step 4: 냄비에 물을 붓고 2의 쇠고기를 넣어 끓으면 양념 재료를 넣어 간을 맞춘다 '  'Step 5: 4에 오징어  청고추  홍고추  대파를 넣어 끓인다 ']
4,비프 부르기뇽은 어떻게 만들어?,0,비프 부르기뇽을 만들기 위해 필요한 재료입니다: ['쇠고기 사태 500g'  '두꺼운 베이컨 2줄'  '당근 1개'  '셀러리 2대'  '양송이버섯 6개'  '통마늘 4톨'  '양파 1개'  '파슬리 약간'  '올리브오일 약간'  '버터 1큰술'  '레드 와인 2컵'  '치킨스톡\xa0(고형) + 물 1⁄2조각 + 물 250mL'  '토마토 페이스트 3큰술'  '소금 약간'  '후춧가루 약간'  '월계수 잎 (생략 가능) 2장'] 조리 과정은 다음과 같습니다: ['Step 1: 쇠고기는 키친타월로 핏기를 닦은 후 사방 6~7cm 크기 정도로 큼지막하게 자르고 소금  후춧가루를 뿌려 밑간해 주세요  '  'Step 2: 마늘은 편 썰고  당근과 셀러리  양파는 큼지막하게 잘라주세요  양송이버섯은 슬라이스하고 베이컨은 2cm 길이로 잘라주세요  '  'Step 3: 달군 팬에 베이컨을 넣어 볶은 후 접시에 덜어주세요  베이컨을 볶은 기름에  쇠고기를 넣어 센 불에서 쇠고기의 겉면만 살짝 익힌 후 접시에 덜어주세요   (겉면만 센 불에서 빠르게 익히면 오래 끓여도 쇠고기 속에 육즙이 유지가 돼요) '  'Step 4: 고기를 볶은 팬에 양파  당근  셀러리  양송이  마늘을 넣고 볶다가 베이컨  버터를 넣어 볶아주세요  '  'Step 5: 센 불에서 고기와 토마토소스  레드 와인  치킨스톡  월계수 잎을 넣어 끓여주세요   (단맛이 나는 디저트 와인은 피해 주세요) '  'Step 6: 뚜껑을 덮어 중약불로 1시간 정도 푹 끓여주세요  파슬리가루를 뿌려 완성해주세요   (중간중간 타지않도록 저어주세요) '  'Step 7: 그릇에 담아 맛있게 즐겨주세요  ']
5,간단 잡채 요리방법이 궁금해,0,간단 잡채를 만들기 위해 필요한 재료입니다: ['건당면: 100g'  '잡채용 돼지고기: 100g'  '표고버섯: 3개'  '부추: 반줌'  '당근: 1/2개'  '양파: 1/2개'  '통깨: 2큰술'  '참기름: 1큰술'  '후춧가루: 약간'  '물: 2컵'  '진간장: 2+1/2큰술'  '흑설탕(또는 설탕): 1큰술'  '식용유: 1큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 건당면은 찬물에 담가 30분정도 불려주세요 '  'Step 2: 당근  표고  양파는 채를 썰고  부추는 5cm 길이로 썰어주세요 '  'Step 3: 냄비에 양념 재료를 넣고 중불에서 끓이다가 설탕이 녹으면 불린 당면과 돼지고기  표고버섯을 넣고 후추를 뿌려 2~3분간 끓여주세요   (tip  흑설탕은 잡채의 색을 더욱 맛있게 보이게 해줘요  흑설탕이 없다면 일반 설탕을 사용해도 괜찮아요)'  'Step 4: 당면이 반 이상 익었을때 양파와 당근을 넣고 섞은 후 뚜껑을 덮어 3분간 익혀주세요  불을 끄고 부추와 통깨와 참기름을 넣어 가볍게 섞어주세요 '  'Step 5: 완성된 잡채를 접시에 담아 맛있게 즐겨주세요 ']
6,어묵 콩나물찜 요리방법이 궁금해,0,어묵 콩나물찜을 만들기 위해 필요한 재료입니다: ['콩나물 (찜용): 1봉지 (350g)'  '사각 어묵: 4장'  '양파: 1⁄4개'  '대파: 1⁄4대'  '청양고추: 1개'  '쪽파: 5대'  '통깨: 약간'  '참기름: 1큰술'  '식용유: 약간'  '다시마 멸치 육수: 3⁄4컵'  '간장: 1+1⁄2큰술'  '참치액젓: 1큰술'  '고춧가루: 2큰술'  '맛술: 2큰술'  '설탕: 1큰술'  '다진 마늘: 1⁄2큰술'  '후춧가루: 약간'  '전분가루: 1큰술'  '물: 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 콩나물은 다듬어 씻은 후 끓는 물에 약간의 소금을 넣고 2분 정도 데치고 찬물에 살짝 헹군 후 체에 밭쳐 물기를 빼주세요  어묵은 길게 채를 썰어주세요  (tip  콩나물은 데쳐서 찬물에 살짝 헹궈 사용하면 아삭한 식감을 살릴 수 있어요)'  'Step 2: 대파는 잘게 썰고 양파는 채를 썰어주세요  쪽파는 4cm 길이로 썰고 청양고추는 어슷하게 썰어주세요  볼에 양념장 재료를 넣고 섞어 양념장을 만들고  전분물 재료를 섞어 전분물을 만들어주세요 '  'Step 3: 달군 팬에 약간의 식용유를 두르고 잘게 썬 대파를 넣고 볶다가 불을 중약불로 줄이고 양파와 어묵을 넣어 볶아주세요 '  'Step 4: 양파가 반쯤 익으면 다시마 멸치 육수와 양념장을 넣고 바글바글 끓으면 콩나물을 넣어 섞어주세요 '  'Step 5: 전분물을 넣고 농도를 맞춘 후 마지막에 쪽파와 청양고추를 넣고 섞고  참기름과 통깨를 뿌려 맛있게 즐겨주세요 ']
7,두부전골은 어떻게 만들어?,0,두부전골을 만들기 위해 필요한 재료입니다: ['두부: 1모'  '다진 돼지고기: 100g'  '배춧잎: 2장'  '새송이버섯: 1개'  '표고버섯: 2개'  '대파: 1/2대'  '청경채: 한줌'  '전분가루: 1작은술'  '다시마멸치육수: 4컵'  '간장: 1/2큰술'  '설탕: 1작은술'  '다진마늘: 1/2큰술'  '생강가루: 1/4작은술'  '후춧가루: 약간'  '국간장: 1/2큰술'  '맛술: 1큰술'  '굵은소금: 1작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 두부는 6등분으로 자르고 약간의 소금을 뿌려 밑간 한 후  키친타월에 올려 물기를 제거해주세요  돼지고기에 고기양념 재료를 넣어 밑간 해주세요 '  'Step 2: 배추와 버섯  대파는 먹기 좋게 자르고 청경채는 2등분으로 잘라주세요 '  'Step 3: 달군 팬에 약간의 기름을 두르고  두부를 돌려가며 노릇하게 구워주세요  (칼집을 넣을 한 면을 빼고 돌려가며 노릇하게 구워주세요)'  'Step 4: 두부의 가운데에 가로로 칼집을 넣은 후  양념한 고기소를 넣어주세요  (남은 고기소는 전분가루 1작은술을 넣고 섞어 고기완자를 빚어주세요 )'  'Step 5: 전골냄비 바닥에 배추를 깔고 두부  표고버섯  느타리버섯을 담은 후 따뜻한 다시마멸치육수와 국물양념재료를 부어 끓여주세요 '  'Step 6: 국물이 끓으면 고기완자를 넣고 완자가 익으면 대파  청경채를 넣고 1분정도 더 끓여주세요  부족한 간은 소금을 넣어 가감해 즐겨주세요 ']
8,김치콩비지전 요리방법이 궁금해,0,김치콩비지전을 만들기 위해 필요한 재료입니다: ['콩비지 1컵'  '밀가루 1컵'  '베이컨 2장'  '대파 1뿌리'  '김치 1/6포기'  '홍고추 1/2개'  '청고추 1/2개'  '다진마늘 1작은술'  '계란노른자 1개'  '식용유 약간'  '물 1/2컵'  '소금 1/2작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 김치는 굵게 다지고 대파와 고추는 어슷썬다 '  'Step 2: 베이컨은 1cm 두께로 썬다 '  'Step 3: 볼에 밀가루  콩비지  김치  대파  청고추  홍고추  베이컨  계란노른자  다진 마늘  물  소금을 넣어 잘 혼합한다 '  'Step 4: 프라이팬에 기름을 두르고 달궈지면 반죽을 넣어 중불에서 노릇하게 지진다 '  'Step 5: 뒤집어 양면이 다 익으면 먹기 좋게 썰어 낸다 ']
9,닭고기냄비는 어떻게 만들어?,0,닭고기냄비를 만들기 위해 필요한 재료입니다: ['닭고기(가슴살) 200g'  '배춧잎 2장'  '죽순 2개'  '말린표고버섯 2장'  '대파 1/2뿌리'  '미나리 10g'  '쑥갓 10g'  '물 3컵'  '홍고추 1개'  '바지락 약간'  '청양고추 1개'  '다시마(10cm x 10cm) 1장'  '간장 약간'  '소금 약간'  '맛술 약간'  '폰즈소스 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 닭고기는 소금을 약간 넣고 끓는 물에 데쳐 한 입 크기로 찢는다 '  'Step 2: 당근은 0 5cn 두께로 막대 모양으로 썰어 살짝 데치고  배추도 삶아서 물기를 짠 후 배추로 당근을 돌돌 말아서 3cm 길이로 썬다 '  'Step 3: 표고버섯은 물에 불린 후 기둥을 제거하고 이등분한다  죽순은 빗살 모양을 살려 길이로 썰고  미나리와 쑥갓은 3cm 정도로 썬다 '  'Step 4: 물 3컵과 다시마를 넣고 끓인 육수에 간장  소금  맛술로 간을 한 후 한소끔 끓인다 '  'Step 5: 1  2  3의 재료를 보기 좋게 담고 4를 넣어 끓인 뒤 폰즈소스를 곁들인다 ']
