Question,Predicted_Label
안녕?,2
날씨,2
오늘의 날씨는?,2
대체 음란찜이 뭐야?,2
오늘 냉장고에 뭐가 있을가,2
안녕?,2
안녕,2
안녕,2
너 뭐 할수있어?,2
오늘은 돼지고기 많이 썰어 넣은 얼큰한 김치찌개가 먹고 싶어,2
요리 추천좀 해줘,0,요리 추천금을 만들기 위해 필요한 재료입니다: ['쇠고기등심 250g'  '배추 50g  목이버섯 5g  표고버섯 2장  대파 12뿌리  육수 12컵  녹말 3큰술  식용유 약간'  '소금 약간  후춧가루 약간  생강즙 약간  식초 3큰술  설탕 2큰술  간장 1큰술  조미술 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 쇠고기는 연한 부위로 준비해 0 5cm 두께로 도톰하게 저며 앞뒤로 잔칼집을 넣는다 '  'Step 2: 배추는 깨끗이 씻어 4cm 길이로 썰고 목이버섯은 4cm 길이로 반달썰고 대파는 어슷썰며 마늘은 저며썬다 '  'Step 3: 표고버섯은 미지근한 물에 불려 기둥을 떼어내고 얇게 채썬다  배춧잎도 깨끗이 씻어 물기를 빼고 4cm 길이로 썬다 '  'Step 4: 육수에 간장  설탕  조미술  물 등을 넣어 끓인다 '  'Step 5: 목이버섯  배춧잎  표고버섯  대파  목이버섯  배추 순으로 넣어 한소끔 끓고 물녹말로 농도를 맞춘 후 참기름으로 간한다 '  'Step 6: 그릇에 뜨거운 육수를 붓고 준비한 재료를 골고루 얹는다 ']
짜장면,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
짜장면 레시피,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
짜장면 레시피 알려줘,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
자장면,0,자장면을 만들기 위해 필요한 재료입니다: ['국수생면 400g  자장 2큰술'  '양파 1개  호박 12개  돼지고기우둔 100g'  '녹말 4큰술  식용유 34컵  설탕 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 돼지고기는 곱게 다지고 호박과 양파는 잘게 썬다 '  'Step 2: 팬을 충분히 달군 후 식용유 6큰술을 넣고 자장을 볶는다 '  'Step 3: 물이 끓을 때 국수를 넣어 다시 끓어 오르면 찬물을 부어 삶는다 '  'Step 4: 팬이 달구어 지면 기름을 둘러 다진고기를 넣어 볶는다  고기가 볶아지면 채소도 함께 볶는다 '  'Step 5: 채소가 숨이 죽으면 자장을 넣어 고루 섞은 다음 물을 붓는다 '  'Step 6: 끓으면 물녹말을 풀어 섞은 후 국수에 끼얹어 낸다 ']
자장면 레시피,0,자장면을 만들기 위해 필요한 재료입니다: ['국수생면 400g  자장 2큰술'  '양파 1개  호박 12개  돼지고기우둔 100g'  '녹말 4큰술  식용유 34컵  설탕 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 돼지고기는 곱게 다지고 호박과 양파는 잘게 썬다 '  'Step 2: 팬을 충분히 달군 후 식용유 6큰술을 넣고 자장을 볶는다 '  'Step 3: 물이 끓을 때 국수를 넣어 다시 끓어 오르면 찬물을 부어 삶는다 '  'Step 4: 팬이 달구어 지면 기름을 둘러 다진고기를 넣어 볶는다  고기가 볶아지면 채소도 함께 볶는다 '  'Step 5: 채소가 숨이 죽으면 자장을 넣어 고루 섞은 다음 물을 붓는다 '  'Step 6: 끓으면 물녹말을 풀어 섞은 후 국수에 끼얹어 낸다 ']
"소고기, 떡, 마늘, 계란 있는데 뭐해먹지?",1,모든 재료가 포함된 요리: 낙지전골  낙지불고기  낙지전골
"냉장고에 소고기, 떡, 마늘, 계란있는데, 뭐할까?",1,모든 재료가 포함된 요리: 소고기 갈비찜  두부전골  소고기 갈비찜
낙지전골 레시피,0,낙지전골을 만들기 위해 필요한 재료입니다: ['낙지 2마리'  '새우 60g'  '쇠고기(양지) 80g'  '두부 1/4모'  '실파 5뿌리'  '표고버섯 3장'  '홍고추 2개'  '쑥갓 약간'  '계란 1개'  '밀가루 약간'  '식용유 약간'  '물 4컵'  '소금 약간'  '간장 2큰술'  '다진파 2큰술'  '다진마늘 1작은술'  '깨소금 약간'  '참기름 약간'  '설탕 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 낙지는 내장을 떼고 소금으로 문질러 씻은 다음 5cm 길이로 자르고 머리도 같은 크기로 자른다 '  'Step 2: 손질한 낙지를 간장 1큰술에 다진 파와 마늘을 넣고 양념한 뒤 10분 정도 재워둔다 '  'Step 3: 새우는 소금물에 씻어 등쪽 두번째 마디를 꼬치로 찔러 내장을 빼고 껍질을 벗긴다 '  'Step 4: 실파는 5cm 길이로 썰고 표고버섯도 5cm 길이로 채썬다  홍고추는 씨를 털고 반으로 갈라  길이대로 채썰고 쑥갓은 씻어 5cm로 자른다 '  'Step 5: 쇠고기 50g은 채썰고 30g은 다져서 각각 양념한다  두부는 씻어 으깬 다음 물기를 꼭 짜서 소금  참기름  깨소금으로 양념한다 '  'Step 6: 양념한 두부와 다진 쇠고기를 섞어 완자로 빚은 다음 밀가루와 계란을 입혀 프라이팬에 굴려 익힌다 '  'Step 7: 준비한 전골냄비에 색을 맞춰 준비한 재료들을 가지런히 담고  가운데에 6의 완자를 얹어 물을 4컵 부은 후 15분 정도 끓인다 ']
안녕 ?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
